year,city,city_temp,global_temp
1750,London,10.25,8.72
1751,London,9.99,7.98
1752,London,6.54,5.78
1753,London,9.42,8.39
1754,London,9.20,8.47
1755,London,8.95,8.36
1756,London,9.42,8.85
1757,London,9.34,9.02
1758,London,8.85,6.74
1759,London,9.80,7.99
1760,London,9.26,7.19
1761,London,9.69,8.77
1762,London,8.99,8.61
1763,London,8.75,7.50
1764,London,9.14,8.40
1765,London,8.95,8.25
1766,London,9.07,8.41
1767,London,8.98,8.22
1768,London,9.12,6.78
1769,London,9.04,7.69
1770,London,9.03,7.69
1771,London,8.78,7.85
1772,London,9.36,8.19
1773,London,9.33,8.22
1774,London,9.10,8.77
1775,London,10.10,9.18
1776,London,9.21,8.30
1777,London,9.25,8.26
1778,London,9.80,8.54
1779,London,10.76,8.98
1780,London,9.67,9.43
1781,London,10.41,8.10
1782,London,8.44,7.90
1783,London,9.97,7.68
1784,London,8.29,7.86
1785,London,8.54,7.36
1786,London,8.35,8.26
1787,London,9.53,8.03
1788,London,9.39,8.45
1789,London,9.12,8.33
1790,London,9.67,7.98
1791,London,9.59,8.23
1792,London,9.56,8.09
1793,London,9.59,8.23
1794,London,10.00,8.53
1795,London,9.19,8.35
1796,London,9.50,8.27
1797,London,9.62,8.51
1798,London,9.83,8.67
1799,London,7.94,8.51
1800,London,9.32,8.48
1801,London,9.68,8.59
1802,London,9.31,8.58
1803,London,8.79,8.50
1804,London,9.37,8.84
1805,London,8.56,8.56
1806,London,9.87,8.43
1807,London,9.03,8.28
1808,London,8.91,7.63
1809,London,8.99,7.08
1810,London,8.97,6.92
1811,London,10.10,6.86
1812,London,8.58,7.05
1813,London,9.13,7.74
1814,London,7.93,7.59
1815,London,8.99,7.24
1816,London,7.98,6.94
1817,London,8.95,6.98
1818,London,9.88,7.83
1819,London,9.58,7.37
1820,London,8.61,7.62
1821,London,9.63,8.09
1822,London,10.36,8.19
1823,London,8.80,7.72
1824,London,9.65,8.55
1825,London,9.98,8.39
1826,London,10.12,8.36
1827,London,9.37,8.81
1828,London,10.10,8.17
1829,London,7.95,7.94
1830,London,8.78,8.52
1831,London,10.01,7.64
1832,London,9.24,7.45
1833,London,9.40,8.01
1834,London,10.59,8.15
1835,London,9.48,7.39
1836,London,9.04,7.70
1837,London,8.85,7.38
1838,London,8.05,7.51
1839,London,8.89,7.63
1840,London,8.68,7.80
1841,London,9.12,7.69
1842,London,9.43,8.02
1843,London,9.40,8.17
1844,London,8.85,7.65
1845,London,8.46,7.85
1846,London,10.48,8.55
1847,London,9.24,8.09
1848,London,9.52,7.98
1849,London,9.42,7.98
1850,London,9.06,7.90
1851,London,9.17,8.18
1852,London,9.96,8.10
1853,London,8.44,8.04
1854,London,9.30,8.21
1855,London,8.03,8.11
1856,London,9.17,8.00
1857,London,10.21,7.76
1858,London,9.20,8.10
1859,London,9.97,8.25
1860,London,8.17,7.96
1861,London,9.42,7.85
1862,London,9.56,7.56
1863,London,9.90,8.11
1864,London,8.74,7.98
1865,London,9.82,8.18
1866,London,9.69,8.29
1867,London,9.06,8.44
1868,London,10.50,8.25
1869,London,9.46,8.43
1870,London,8.94,8.20
1871,London,8.97,8.12
1872,London,10.07,8.19
1873,London,9.26,8.35
1874,London,9.37,8.43
1875,London,9.43,7.86
1876,London,9.75,8.08
1877,London,9.43,8.54
1878,London,9.47,8.83
1879,London,7.62,8.17
1880,London,9.35,8.12
1881,London,8.71,8.27
1882,London,9.43,8.13
1883,London,9.21,7.98
1884,London,9.86,7.77
1885,London,8.68,7.92
1886,London,8.80,7.95
1887,London,8.39,7.91
1888,London,8.31,8.09
1889,London,8.91,8.32
1890,London,8.86,7.97
1891,London,8.65,8.02
1892,London,8.35,8.07
1893,London,10.05,8.06
1894,London,9.42,8.16
1895,London,8.91,8.15
1896,London,9.41,8.21
1897,London,9.50,8.29
1898,London,10.08,8.18
1899,London,9.85,8.40
1900,London,9.73,8.50
1901,London,9.20,8.54
1902,London,8.95,8.30
1903,London,9.45,8.22
1904,London,9.18,8.09
1905,London,9.25,8.23
1906,London,9.62,8.38
1907,London,9.03,7.95
1908,London,9.31,8.19
1909,London,8.70,8.18
1910,London,9.39,8.22
1911,London,10.22,8.18
1912,London,9.57,8.17
1913,London,9.89,8.30
1914,London,9.98,8.59
1915,London,9.07,8.59
1916,London,9.28,8.23
1917,London,8.65,8.02
1918,London,9.60,8.13
1919,London,8.48,8.38
1920,London,9.67,8.36
1921,London,10.60,8.57
1922,London,8.81,8.41
1923,London,9.17,8.42
1924,London,9.34,8.51
1925,London,9.31,8.53
1926,London,9.83,8.73
1927,London,9.25,8.52
1928,London,9.69,8.63
1929,London,9.09,8.24
1930,London,9.70,8.63
1931,London,9.12,8.72
1932,London,9.57,8.71
1933,London,9.96,8.34
1934,London,10.11,8.63
1935,London,9.90,8.52
1936,London,9.43,8.55
1937,London,9.69,8.70
1938,London,10.18,8.86
1939,London,9.77,8.76
1940,London,9.06,8.76
1941,London,9.09,8.77
1942,London,9.10,8.73
1943,London,10.19,8.76
1944,London,9.62,8.85
1945,London,10.39,8.58
1946,London,9.58,8.68
1947,London,9.75,8.80
1948,London,10.16,8.75
